summaryHeading,summaries,x1_sum,y1_sum,reportedDate,numberOfActiveSchools,numberOfActiveCases
New_Total_School_Related_Cases,0.0,1+,1617.0,2020-09-11,13,0
Cumulative_School_Related_Cases,14906.0,2+,719.0,2020-09-14,15,0
active_total,3161.0,3+,407.0,2020-09-15,27,2
active_schools_count,1617.0,4+,232.0,2020-09-16,35,6
active_student,2204.0,5+,143.0,2020-09-17,51,9
active_staff,437.0,6+,87.0,2020-09-18,60,10
active_unspecified,520.0,7+,50.0,2020-09-21,75,13
Current_Schools_Closed,0.0,8+,29.0,2020-09-22,114,23
,,9+,21.0,2020-09-23,153,25
,,10+,16.0,2020-09-24,178,29
,,11+,12.0,2020-09-25,198,38
,,12+,9.0,2020-09-28,224,46
,,13+,8.0,2020-09-29,249,56
,,14+,4.0,2020-09-30,282,60
,,15+,1.0,2020-10-01,306,80
,,,,2020-10-02,318,93
,,,,2020-10-05,370,132
,,,,2020-10-06,385,158
,,,,2020-10-07,416,181
,,,,2020-10-08,446,173
,,,,2020-10-09,463,175
,,,,2020-10-12,463,175
,,,,2020-10-13,520,276
,,,,2020-10-14,522,216
,,,,2020-10-15,550,234
,,,,2020-10-16,544,237
,,,,2020-10-19,551,255
,,,,2020-10-20,570,330
,,,,2020-10-21,573,338
,,,,2020-10-22,567,345
,,,,2020-10-23,580,323
,,,,2020-10-26,597,390
,,,,2020-10-27,625,413
,,,,2020-10-28,624,417
,,,,2020-10-29,616,422
,,,,2020-10-30,593,426
,,,,2020-11-02,617,417
,,,,2020-11-03,601,495
,,,,2020-11-04,627,506
,,,,2020-11-05,622,483
,,,,2020-11-06,625,490
,,,,2020-11-09,627,515
,,,,2020-11-10,419,515
,,,,2020-11-11,743,499
,,,,2020-11-12,765,491
,,,,2020-11-13,785,517
,,,,2020-11-16,801,524
,,,,2020-11-17,762,588
,,,,2020-11-18,755,571
,,,,2020-11-19,759,586
,,,,2020-11-20,771,585
,,,,2020-11-23,757,574
,,,,2020-11-24,778,675
,,,,2020-11-25,767,630
,,,,2020-11-26,749,584
,,,,2020-11-27,758,606
,,,,2020-11-30,773,648
,,,,2020-12-01,820,741
,,,,2020-12-02,825,728
,,,,2020-12-03,867,796
,,,,2020-12-04,885,796
,,,,2020-12-07,905,855
,,,,2020-12-08,947,856
,,,,2020-12-09,969,897
,,,,2020-12-10,988,938
,,,,2020-12-11,990,941
,,,,2020-12-14,1015,991
,,,,2020-12-15,1065,1029
,,,,2020-12-16,1081,1000
,,,,2020-12-17,1106,1036
,,,,2020-12-18,1104,1049
,,,,2020-12-21,1100,1030
,,,,2020-12-22,1105,1041
,,,,2020-12-23,1106,1034
,,,,2020-12-24,1108,1049
,,,,2021-01-04,1055,1016
,,,,2021-01-05,962,940
,,,,2021-01-06,889,751
,,,,2021-01-07,655,554
,,,,2021-01-11,633,541
,,,,2021-01-12,86,80
,,,,2021-01-13,83,65
,,,,2021-01-14,75,60
,,,,2021-01-15,76,59
,,,,2021-01-18,69,53
,,,,2021-01-19,57,36
,,,,2021-01-20,60,26
,,,,2021-01-21,57,24
,,,,2021-01-22,57,26
,,,,2021-01-25,58,30
,,,,2021-01-26,58,30
,,,,2021-01-27,58,30
,,,,2021-01-28,58,30
,,,,2021-01-29,69,35
,,,,2021-02-01,69,35
,,,,2021-02-02,69,35
,,,,2021-02-03,91,38
,,,,2021-02-04,93,36
,,,,2021-02-05,92,36
,,,,2021-02-08,90,27
,,,,2021-02-09,115,36
,,,,2021-02-10,79,22
,,,,2021-02-12,153,58
,,,,2021-02-15,159,61
,,,,2021-02-16,159,61
,,,,2021-02-17,159,75
,,,,2021-02-18,212,93
,,,,2021-02-19,263,100
,,,,2021-02-22,292,124
,,,,2021-02-23,351,162
,,,,2021-02-24,400,217
,,,,2021-02-25,439,241
,,,,2021-02-26,475,243
,,,,2021-03-01,549,295
,,,,2021-03-02,646,407
,,,,2021-03-03,675,456
,,,,2021-03-04,697,485
,,,,2021-03-05,715,479
,,,,2021-03-08,750,491
,,,,2021-03-09,815,538
,,,,2021-03-10,857,569
,,,,2021-03-11,876,621
,,,,2021-03-12,885,664
,,,,2021-03-15,891,675
,,,,2021-03-16,966,773
,,,,2021-03-17,967,776
,,,,2021-03-18,976,784
,,,,2021-03-19,979,822
,,,,2021-03-22,1006,866
,,,,2021-03-23,1050,946
,,,,2021-03-24,1099,990
,,,,2021-03-25,1125,1036
,,,,2021-03-26,1144,1023
,,,,2021-03-29,1219,1132
,,,,2021-03-30,1279,1219
,,,,2021-03-31,1314,1268
,,,,2021-04-01,1355,1411
,,,,2021-04-06,1295,1333
,,,,2021-04-07,1467,1562
,,,,2021-04-08,1632,1574
,,,,2021-04-09,1652,1561
,,,,2021-04-12,1668,1678
,,,,2021-04-13,1683,1733
,,,,2021-04-14,1679,1738
,,,,2021-04-15,1691,1783
,,,,2021-04-16,1670,1762
,,,,2021-04-19,1670,1789
,,,,2021-04-20,1663,1759
,,,,2021-04-21,1632,1594
,,,,2021-04-22,1617,1544
